id,left,top,right,bottom,SAMPLE_1
"165",24.569485716,54.115689009,24.569685716,54.115889009,0.173514157533646
"166",24.569485716,54.115489009,24.569685716,54.115689009,0.200738921761513
"167",24.569485716,54.115289009,24.569685716,54.115489009,0.207061946392059
"168",24.569485716,54.115089009,24.569685716,54.115289009,0.169540226459503
"169",24.569485716,54.114889009,24.569685716,54.115089009,0.164435297250748
"170",24.569485716,54.114689009,24.569685716,54.114889009,0.266863375902176
"171",24.569485716,54.114489009,24.569685716,54.114689009,0.238067626953125
"172",24.569485716,54.114289009,24.569685716,54.114489009,0.297434449195862
"173",24.569485716,54.114089009,24.569685716,54.114289009,0.341711401939392
"174",24.569485716,54.113889009,24.569685716,54.114089009,
"175",24.569485716,54.113689009,24.569685716,54.113889009,
"176",24.569485716,54.113489009,24.569685716,54.113689009,
"177",24.569685716,54.116489009,24.569885716,54.116689009,
"178",24.569685716,54.116289009,24.569885716,54.116489009,0.276020765304565
"179",24.569685716,54.116089009,24.569885716,54.116289009,0.280741959810257
"180",24.569685716,54.115889009,24.569885716,54.116089009,0.245019719004631
"181",24.569685716,54.115689009,24.569885716,54.115889009,0.189447522163391
"182",24.569685716,54.115489009,24.569885716,54.115689009,0.178381755948067
"183",24.569685716,54.115289009,24.569885716,54.115489009,0.208131477236748
"184",24.569685716,54.115089009,24.569885716,54.115289009,0.154005587100983
"185",24.569685716,54.114889009,24.569885716,54.115089009,0.214663863182068
"186",24.569685716,54.114689009,24.569885716,54.114889009,0.252599507570267
"187",24.569685716,54.114489009,24.569885716,54.114689009,0.279098123311996
"188",24.569685716,54.114289009,24.569885716,54.114489009,0.253444045782089
"189",24.569685716,54.114089009,24.569885716,54.114289009,0.368324309587479
"190",24.569685716,54.113889009,24.569885716,54.114089009,0.334289819002151
"191",24.569685716,54.113689009,24.569885716,54.113889009,0.357851982116699
"192",24.569685716,54.113489009,24.569885716,54.113689009,
"193",24.569885716,54.116489009,24.570085716,54.116689009,
"194",24.569885716,54.116289009,24.570085716,54.116489009,
"195",24.569885716,54.116089009,24.570085716,54.116289009,0.292573690414429
"196",24.569885716,54.115889009,24.570085716,54.116089009,0.296814769506454
"197",24.569885716,54.115689009,24.570085716,54.115889009,0.24846076965332
"198",24.569885716,54.115489009,24.570085716,54.115689009,0.221019178628922
"199",24.569885716,54.115289009,24.570085716,54.115489009,0.189737915992737
"200",24.569885716,54.115089009,24.570085716,54.115289009,0.19125472009182
"201",24.569885716,54.114889009,24.570085716,54.115089009,0.269186705350876
"202",24.569885716,54.114689009,24.570085716,54.114889009,0.29114431142807
"203",24.569885716,54.114489009,24.570085716,54.114689009,0.277677714824677
