id,left,top,right,bottom,SAMPLE_1
"168",24.569485716,54.115089009,24.569685716,54.115289009,0.118755720555782
"169",24.569485716,54.114889009,24.569685716,54.115089009,0.20656256377697
"170",24.569485716,54.114689009,24.569685716,54.114889009,0.222842961549759
"171",24.569485716,54.114489009,24.569685716,54.114689009,0.221678897738457
"172",24.569485716,54.114289009,24.569685716,54.114489009,0.251118451356888
"173",24.569485716,54.114089009,24.569685716,54.114289009,
"174",24.569485716,54.113889009,24.569685716,54.114089009,
"175",24.569485716,54.113689009,24.569685716,54.113889009,
"176",24.569485716,54.113489009,24.569685716,54.113689009,
"177",24.569685716,54.116489009,24.569885716,54.116689009,
"178",24.569685716,54.116289009,24.569885716,54.116489009,0.251717686653137
"179",24.569685716,54.116089009,24.569885716,54.116289009,0.231574356555939
"180",24.569685716,54.115889009,24.569885716,54.116089009,0.207674950361252
"181",24.569685716,54.115689009,24.569885716,54.115889009,0.154296875
"182",24.569685716,54.115489009,24.569885716,54.115689009,0.171725749969482
"183",24.569685716,54.115289009,24.569885716,54.115489009,0.13475176692009
"184",24.569685716,54.115089009,24.569885716,54.115289009,0.156494528055191
"185",24.569685716,54.114889009,24.569885716,54.115089009,0.194871798157692
"186",24.569685716,54.114689009,24.569885716,54.114889009,0.225352108478546
"187",24.569685716,54.114489009,24.569885716,54.114689009,0.229252263903618
"188",24.569685716,54.114289009,24.569885716,54.114489009,0.27637591958046
"189",24.569685716,54.114089009,24.569885716,54.114289009,0.303876608610153
"190",24.569685716,54.113889009,24.569885716,54.114089009,
"191",24.569685716,54.113689009,24.569885716,54.113889009,
"192",24.569685716,54.113489009,24.569885716,54.113689009,
"193",24.569885716,54.116489009,24.570085716,54.116689009,
"194",24.569885716,54.116289009,24.570085716,54.116489009,
"195",24.569885716,54.116089009,24.570085716,54.116289009,
"196",24.569885716,54.115889009,24.570085716,54.116089009,
"197",24.569885716,54.115689009,24.570085716,54.115889009,
"198",24.569885716,54.115489009,24.570085716,54.115689009,
"199",24.569885716,54.115289009,24.570085716,54.115489009,0.16316831111908
"200",24.569885716,54.115089009,24.570085716,54.115289009,0.208714604377747
"201",24.569885716,54.114889009,24.570085716,54.115089009,0.244489386677742
"202",24.569885716,54.114689009,24.570085716,54.114889009,0.242622956633568
"203",24.569885716,54.114489009,24.570085716,54.114689009,0.229252263903618
"204",24.569885716,54.114289009,24.570085716,54.114489009,0.232032030820847
"205",24.569885716,54.114089009,24.570085716,54.114289009,0.279654026031494
"206",24.569885716,54.113889009,24.570085716,54.114089009,0.273660451173782
"207",24.569885716,54.113689009,24.570085716,54.113889009,0.243897259235382
"208",24.569885716,54.113489009,24.570085716,54.113689009,
